Emotion,Text
joy,"When I dived among sharks and the brightly coloured fish on the outer reef of Tvavni, Fidgi."
sadness,When I could not do anything because of a bad back.
shame,When I excreted on the mat instead of the potty.
fear,When the car I was driving skidded on an icy road and landed in   a ditch with one side against a rock.
joy,When I passed the driving test three weeks ago and got my licence.
fear,When a guy chased me when I was out jogging.
joy,When I met friends I had not seen for the last 2-4 years.
anger,When the morning newspaper has not arrived.
guilt,Forced to fill in a questionnaire.
anger,When my tennis match was interrupted because a kid cycled right into the court.
fear,When my dog ran out on thin ice last spring.
joy,When I won a tennis match.
anger,"I had a very heavy work load and two colleagues, whom I have nothing against, disturbed me by ""terror ringing"", i.e continously interrupting me by telephoning."
fear,Risk of being involved in a fight after a party.
guilt,"I saw a neighbour, from the same appartment block as me, lying    on the road.  He could have been injured or ill.  I kept 20 metres away and did not go to help him."
joy,Celebrations on the graduation day with the orchestra playing in the garden ( I am a part of this orchestra).
sadness,After an exam which I failed.
shame,"When I overtook a car on the mainroad, misjudging the distance of an oncoming car and this resulted in tooting and flashing from the other driver (we could have collided), and I had an acquaintance in the car with me."
anger,"When I was deputy manager during the Summer, certain deputies took liberties, more than what was normal."
disgust,Dog dirt which thaws in the spring.
fear,"When I was cycling to school, I nearly got knocked down by a car which (overtook me too closely) did not give me any swerving space."
joy,When I met an old schhol friend (school love) who works in Sk+vde.
sadness,"When I realized that my girlfriend, whom I like, and I were going to separate."
shame,When I forgot my mother's birthday.
anger,I reached the bus stop and realized that I had forgotten my bus pass.
fear,Was nearly knocked down by a car.
joy,Passed the last exam.
sadness,My current work load is too much.  The feeling comes back from time to time.
anger,When someone does something wrong which affects me negatively.
fear,When someone close to me is travelling by car and is delayed.
guilt,"I do not have the time for other people's problems.  My mother-in-law is sometimes depressed and I do not have the time, the desire or the strength to help."
joy,When my one year old son gives me a spontaneous kiss.
sadness,When I think about my parents getting old.
anger,I saw a report on T.V news on apartheid in South Africa.
fear,I was driving and a deer suddenly appeared in front of the car when there was a lot of traffic behind me.
joy,"An ex-colleague asked me if I was interested in working in their accounts bureau.  They needed ""clever people"" and he had ""immediately thought of me."""
anger,The time when someone let the air out of the tyres of my cycle.
fear,When I nearly collided with another car.
guilt,The time that I had to put my dog to sleep.
joy,When my girlfriend became pregnant.
sadness,When I read a lot and did not remember anything.
sadness,Long illness.
anger,"When I argue with my boyfriend, I feel as though he feels superior to me."
fear,A reoccurring fear that something will happen to my relatives.
guilt,When I argue with my sister.  It feels sometimes that I have the upper hand and I use it.  I often argue better and this makes her terribly angry.
joy,"I feel unbelievably happy about the relationship between my boyfriend and me, it is a reoccurring feeling."
sadness,When I failed an exam last Summer.  I had worked very hard for it and I was very disappointed thinking that it was hopeless to continue at college.  I did overreact.
anger,When a close relative is treated badly.
disgust,When I saw all the starving people in Ethiopia on T.V.  It felt awful to see such suffering.
fear,When I am travelling by car and have to meet an oncoming car while overtaking.
guilt,When a mistake occurred at work which I was not responsible for.  This was disclosed later.
joy,I was very happy when I got an attractive Summer job.
sadness,When a close friend died.
anger,When my father's new fiancee treats me like a child.  She does not trust me and constantly misunderstands me.  I get particularly angry when she says nasty things about my boyfriend with whom she works.
fear,Last Summer in Italy I was attacked by a dog.It was terrible to feel that untidy dirty dog against my naked skin.
joy,When I called my boyfriend he asked me if I would live with him.
sadness,"When the guy I was in love with told me that he had met someone else and that we would not meet again for a year.  Although we did not have a steady relatioship, we were having an affair."
anger,My parents did not approve my choice of a boyfriend (now an ex-boyfriend).  He happened to be 13 years older than me and he was considered completely unsuitable for me.  IDIOT.
disgust,When my uncle comes (3 times a year) for the traditional Christmas dinner with my grandparents and other relatives and is very drunk.
fear,"When I think of death - not my own but that of my parents, brothers and sisters."
guilt,I was living at home during the Summer vacations and towards the end decided to take some of my clothes and other belongings to the appartment in Guttenburg.  When I had finished I went to my ex-boyfriend's (relationship uncertain) home and stayed there till 5 A.M.  I had to leave then as my parents needed the car for work in the morning.  My parents do not like my boyfriend.
joy,When my love for a guy was returned.
anger,"There was a sofa in my flat which belonged to the old tenants who were acquaintances.  It should have been picked up a year ago but they had postponed it.  Eventually they decided on one date and I stayed at home despite the fact that I had other things to do.  They did not come, nor did they call and they still have not got in touch with me."
disgust,"Very intoxicated men who incite each other to fight.   I met a vile smelling man on the tram who got closer and closer to me till I got up, then he got angry."
fear,When my mother's heart nearly stopped.
guilt,When my nephew asked me to tell him a story and I simply did not have the energy or the will.  When I saw his disappointment I was terribly guilty and read a story to him after all.
joy,I met my present boyfriend on a boat trip to England.  We had said that we would call each other when we got back to Sweden (we were not going to the same town in England).  As soon as I walked in he called from England as he could not wait till he came home.
sadness,When my ex-boyfriend and I separated.
anger,A girl I was with went off with another guy.
disgust,I worked in a harbour and emptied latrine containers from the back of the lorries.
fear,"Earlier, I was afraid of speaking in front of a crowd of people."
joy,When I fell in love.
sadness,At set-backs.
shame,The day after the night I drank too much at a party.
disgust,When I was a young teenager (14)  my brother-in-law to be had made heavy advances to me.  I did not understand very well what it was all about but I reacted strongly and the feelings are still there.
fear,I woke up in the middle of the night as I had jumped and shouted with fear.  I thought that someone's cold hand or something similar had touched my hand.  I crept down under the covers and went back to sleep.
guilt,I broke off with my partner as I wanted him as a friend and not as a lover.  He reacted very violently and I felt guilty as I had made him so desperately unhappy.
joy,When I was accepted as a student of Psychology here at Gutttenburg.
anger,My father and I had an argument because I do not help enough at home.
disgust,I had intercourse with someone and then I realized that what I had done was wrong and it disgusted me.
fear,I was nearly knocked down while I was cycling.
guilt,I said nasty things which I did not mean to a friend.
joy,I made dinner for some friends and they appreciated it very much.
anger,Quarrelled with my younger brother.
disgust,Helping older people on the toilet.
fear,Disappointment over a friend.
guilt,Squeezed the puppy in the door.
joy,After intercourse.
sadness,When I woke up after a nightmare.
anger,A lady I live with had not bothered to clean up before she went   on holiday (I live in a collective).
disgust,I was present when they found a shop-keeper dead in his shop.  He had been shot with a shotgun at close range.
fear,Motor failure on a boat outside Gottenburg when we were in heavy  seas and the wind was strong.  As we could not steer the boat we drifted towards the rocks.  We did not succeed in attracting the attention of any passerby until 4 hours had elapsed.
guilt,My mother accused me of not visiting her enough when she was in hospital for an eye operation.
joy,When I was notified that I had been accepted as a Psychology student.
sadness,When I heard that a good friend had committed suicide.
disgust,"When I was touring Asia with my present football team, I saw old Europeans with young asiatic prostitutes."
fear,"When I was 7-8 years old, I woke up one night and found myself alone at home.  My mother had gone out to buy cigarattes from a machine."
joy,"After I had made my debut at Ullevi against IFK, Gottenburg and got a good write up in the paper."
sadness,When I found out that I had failed to pass my exams during the term by one point.  The fact that exactly the same thing had happened last term did not help.
anger,The sight of a man who ran amok (fighting) at a dance.
disgust,"With my mouth full of bun, I drank directly from a packet of milk which turned out to be weeks old (completely separated).  It took a while for the milk to seep through the bun."
fear,After mischieviously ringing on the chemist's trade-entrance doorbell and getting caught by him.
guilt,A boy who shot dead a squirrel.
joy,As an evening class teacher I got positive feedback.  When the atmosphere is good and a kind of relaxed understanding exists.
sadness,When out of work.
anger,"With the job appointments committee when the headmaster in charge explained that a male teacher was more suitable for the particular post.  I had more years of service than the male teacher, but this was not taken into consideration.  I could have been given a less attractive job if things had gone the way the headmaster wanted."
fear,"When I was involved in a car accident last November, after the first fall of snow.  I lost control of the car and it spun round and landed on the opposite side of the road, on the hard shoulder.  It was stopped by a pole on top of a bank sloping down to a stream."
joy,When I was accepted as supervisor for a student teacher.  The notification came by post.
sadness,A colleague's 17 year old daughter is seriously ill with cancer and has only a year to live.  I  heard about it 6 weeks ago.
anger,Someone didn't show up at a meeting in spite of having agreed to come.
disgust,"At an anti-pornography meeting, when samples from films and magazines were shown."
fear,"Having quarreled with a boyfriend, he threatened to leave me."
guilt,"Having failed to help with the 5th of March arrangements (Women's Day), although I had previously promised to take part in the work."
joy,"When a close friend met me at the station in the middle of the night, when I came back from a long and tiring journey."
sadness,"When I understood that my marriage was falling apart, and we decided to be legally separated."
shame,Comments from other children on my alcoholic father
anger,"When I tried to put up a tent some years ago, I was teased and hindered by my cousin."
disgust,NO RESPONSE.
fear,"After my car accident, when I woke up in a heap of stones."
guilt,"Car accident. I let a 16-year old, incompetent parson take the wheel and I feel very guilty about what happened even though I suffered the worst injuries."
joy,"When I was able to buy my new car, after lots of problems."
sadness,When my grandfather died.
shame,"Hit a dog with my car, and didn't stop."
anger,"A drunken friend of mine was beating up another friend, who was also drunk."
disgust,My boss on the job failed to keep his promise about something he knew was extremely important to me.
fear,My father has a chronic desease. In the autumn of 1983 he had a very strong fit or seizure.
guilt,I hit my little sisiter on the head with a stone while we were fighting.
joy,When I was admitted to a certain school as a student.
sadness,When I didn't get a certain job at Lillehammer which I wanted very much.
shame,An exam where questions about very specific knowledge were asked.
anger,"My mother and her friends were speaking badly about my father when they were separated, and my brothers and sisters and myself were allowed to listen."
disgust,When my mother's new husband treated her and my brothers and sisters badly.
fear,"A ""near-accident"" in a car, driving too fast on an icy road."
guilt,NO RESPONSE.
joy,"When my father managed to begin a ""new life"" after the divorce from my mother; resulting in a new little sister for me."
sadness,"Being bored in school, not being able to marry and have children."
shame,Stealing from my mother's purse when I was a little boy.
anger,"I was accused of a misdemeanour, unjustly."
disgust,Slaughtering of animals.
fear,"I was hunting, and was lost in the fog in the mountains."
guilt,I failed to show up at an agreed date.
joy,"I was in hospital, and then was visited by someone quite unexpected."
sadness,When my girlfriend left me.
shame,"I entered the wrong room, and got into a bed where someone already was sleeping."
anger,Meeting generally dominating persons in social occasions.
disgust,Can't describe any disgust situation.
fear,"Climbing a mountain, I got stuck and realized I could get neither up nor down."
guilt,A friend of mine shot himself through the head after having told me and others that he would do so.
joy,"When I finally managed to get a specific sound from my guitar, after baving tried for a long time."
sadness,"Discovering that Lillehammer provided no musical environment that suits my taste, even though I had been told so."
shame,When the cast general election resulted in Norway getting a conservative government.
anger,"When my father phoned me to come home from my vacation, since he no longer had the time to look after my garden and animals."
disgust,When I learned that a relative had been spreading rumours about me.
fear,When I almost ran over a small boy who suddenly was in front of my car.
guilt,"When my ex-husband left our house, and the children cried because he was not coming back."
joy,When my children were born.
sadness,When I was told that a good friend was seriously ill.
shame,"I was talking badly about a person to some friends, and discovered that his daughter was listening."
anger,When my car suddenly broke down !
disgust,"There is a certain person, whom I only have seen. He makes me cringe, feel disgust."
fear,"After having watched a crime show on the TV, I was about to take the dog for a walk. Then, suddenly, there was a man on the porch... (We live some distance away from other people)."
guilt,"A kitten had wandered into our office, and I was told to take it back across the street. When I crossed back, the kitten followed me and was run over and killed by a car."
joy,"When my special friend said ""I love you"" for the first time."
sadness,When an earlier friend was spreading negative rumours about me.
shame,Cheating to get the best grade on a test in 7th grade.
anger,"Angry with my brother, who was making fun of me, teasing me."
disgust,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners."
fear,"After seeing a terror movie at the cinema, I was so scared that I couldn't even drive the car into the garage. I often thought about the film afterwards, hoping such things couldn't exist in the ""real world""."
guilt,Having been angry and unpleasant towards my parents.
joy,When my term paper was evaluated.
sadness,When my gradmother died.
shame,I guess I have often been ashamed after having talked badly of other people.
anger,"We were starting a student project, and the teacher we talked to was very negative and not very helpful."
disgust,"I felt some disgust for my boyfriend for a time, after he had left me."
fear,"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover."
guilt,"Before an accident, my aunt offered me the front seat of the car, next to the driver. I declined, she took that seat and was killed there when the car crashed."
joy,When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy.
sadness,"When my boyfriend openly let me down, preferring another girl."
shame,Can't think of any.
anger,Being treated unfairly.
disgust,Nothing.
fear,"I wandered by mistake into the safety zone of a shooting range, and was shot at."
guilt,Little contact with my father before he died.
joy,"Unexpected visit by a close friend, whom I hadn't seen for half a year."
sadness,Breaking up with a girl.
shame,None.
anger,"I was accused of having done something, which I hadn't and got very angry."
disgust,Not applicable.
fear,"When I was the first to arrive at the scene after an accident, and found that a close school friend had been killed."
guilt,"When my parents work very hard and get tired - while I go to school and study instead of helping them. I feel that I'm letting them down, disappointing them."
joy,"When I was accepted as a student at the college, not having thought it possible."
sadness,When my grandmother died.
shame,I overreacted towards my mother and felt ashamed afterwards.
anger,"Being subject to unfair treatment in a working group, someone ""bending the rules"" was protected by the boss. This resulted in more work for the others."
disgust,"Was confronted with a person having negative thoughts of other people because of their social status, beliefs, color and outlook on life (perspective)."
fear,I lost my way on a trip in the mountains.
guilt,I failed to complete a working task within the agreed time.
joy,Got in touch with earlier friends after a long absence.
sadness,The death of a close friend.
shame,"Feeling inadequate in a group situation, being unable to convey my own thoughts and feelings."
anger,"One of my best friends accused me of giving up to early on problems. It was only a casual remark on her side, but I was angry and hurt."
disgust,In a public swimming hall I saw a very aggressive man who practically attacked the children who got in his way when he was swimming.
fear,"Before getting back the results of a test in school, when I had worked very hard and was worried about not succeeding."
guilt,"I had planned a trip to the South during Easter, together with a friend. She was very sorry when I changed my mind and decided not to go after all."
joy,Receiving a much wanted letter from a very good friend who lives abroad.
sadness,"Realizing that school will soon be over, and we will all go different ways, perhaps never meeting again our friends from this year."
shame,"I was making very strong statements about infidelity in couples. Then I discovered that one of my best friends, who had just been through a very sad case of mutual infidelity, was listening."
anger,"I was subject to false accusations, and got very angry."
disgust,"This is difficult, since I don't remember feeling disgust towards anyone."
fear,"One dark night with no street lights, a car was obviously following me."
guilt,I was very angry with a girlfriend for interferring a little too much with my personal affairs. I told her so rather strongly and she started crying.
joy,"A friend which I hadn't seen for years, sent me a small present."
sadness,I was told by a good friend that we couldn't be friends any more because of his relationship with another girl.
shame,"If I don't go to lectures, I often feel ashamed."
anger,"I felt unfairly treated at an airport, being told to use a different counter (for domestic traffic only)."
disgust,The murder of two girls on a school trip to Berlin (and sexual crimes generally) a couple of years ago.
fear,"I was beaten up at a private New Year's party once, through no fault of mine."
guilt,"When I secretly tried smoking for the first time, being 12 years old."
joy,"When my fiancee travelled 2000 Km to visit me, and I hadn't seen her for 4 months."
sadness,When my grandmother died.
shame,When taking part in the mobbing of one of my best friends in primary school.
anger,When students in our working group showed no responsibility or interest in our work.
disgust,"Some people were unfairly treated, because of their nationality/colour."
fear,Not applicable to myself.
guilt,Not applicable to myself.
joy,"When the person that I was very fond of, returned to me."
sadness,A very close friend left me.
shame,Taking part in the mobbing of some girls in my class in primary school.
anger,"My nephew is a deaf and also ""hyperactive"" boy. I had been responsible for looking after him for a full day, and was very tired. Then he suddenly grabbed a knife and stabbed me in the leg. I got so angry that I didn't feel any pain."
disgust,Close friends talking badly of other friends.
fear,A letter from my boyfriend began in such a way that I thought he was going to end our relationship. I was afraid of reading the rest.
guilt,"We had a day off from school. Instead of helping my mother with her job, I stayed in bed all day."
joy,A close acquaintace cried for me. I felt happy because somebody cared.
sadness,A woman I know is slowly dying from cancer. Observing this process makes me sad.
shame,"My father died after two very painful weeks in bed. I felt relieved, and was ashamed of that."
anger,"A close friend first said he accepted an agreement, but later used that agreement as a reason for attacking me."
disgust,"Political and military trnsgressions around the world, generally speaking. This cannot be described through this questionaire."
fear,Fearing the use of power or reprimands when I belong to the minority.
guilt,"When my aunt took her own life, I felt guity for not understanding that she needed support."
joy,Renewed contact with an earlier friend.
sadness,When realizing that my girlfriend and myself in fact had started the process of breaking up.
shame,Was accused of having hidden intentions in a situation when I believed I was acting honestly and fairly.
anger,"When I tried to breake it up with my boyfriend, and he refused to let me go."
disgust,Doesn't apply.
fear,Doesn't apply.
guilt,"I dated another boy several times, when I was still ""going with"" my former boyfriend. This made me feel a little bit guilty towards my friend."
joy,"Receiving a postcard form my sweetheart who was abroad on vacation, not being at all sure if he would write me or not."
sadness,Having to go back home form the U.S. after having been there for ten weeks to visit my brother and his family.
shame,Doesn't apply.
anger,Having a fight with a class mate.
disgust,Can't remember having had this feeling.
fear,Falling off a cliff in the mountains.
guilt,I forgot to lock the outside door at my Land Lady's place.
joy,Finding my glasses again after having lost them in town.
sadness,When the gear broke on my car.
shame,Can't remember that feeling.
anger,I get angry when people disbelieve me or misunderstand me.
disgust,"Having been unjustly punished, I feel disgust towards the person responsible."
fear,Going home alone through the forest after a girl guide (scout ?) meeting.
guilt,"Doing something wrong at home, and then letting my (normally) more rampant brother take the blame."
joy,I got a job right after school was over.
sadness,At the death of a close relative.
shame,Being caught in changing the truth (lying).
anger,"Being a spokesman for the union, I got into a quarrel with a colleague who had been acting disloyally over a sustained period of time."
disgust,"Reading about executions and massacres which happened during World War II, I felt disgust towards those who did it."
fear,"Climbing a mountain where the rocks were very loose. When we realized the danger, we were very high up, but still had a long climb ahead."
guilt,"Borrowing a car, and then having a minor accident (breaking a headlight)."
joy,Having passed the exam required to be an authorized Radio/TV dealer.
sadness,"When my grandfather died, with whom I had a very close relationship."
shame,"I woke up at the house of someone I knew, not remembering very much about what had been said or done during the party on the previous night."
anger,"When others let me down, fail to keep agreements."
disgust,When people manipulate others through appearing better than what they really are.
fear,"When I realized that we are living on borrowed time, and that the nuclear holocaust appears to come closer every day."
guilt,"Feeling helpless, not being able to accomplish what I really wanted to do."
joy,Succeeding in helping others.
sadness,Death in the close family.
shame,Participating in a theft several years ago.
anger,I was accused of having drunk a bottle of liquor and then refilling with water.
disgust,"Quarreling with my father, when he made false assertions."
fear,I came home and discovered that someone had broken in. Then I realized that they probably were still there.
guilt,"I've always defended my sister when needed, at the expense of my brother. This has led to feelings of guilt towards him."
joy,I received the message that I'd been accepted at the school where I really wanted to go.
sadness,"Got a package from my parents, without even a small note enclosed."
shame,Telling friends about how my parents had been treating my brothers and sisters unfairly.
anger,When colliding with my car. I myself was to blame.
disgust,Can't remember any episode of disgust.
fear,Before important sports events.
guilt,When I and the boy next door set fire to a house by accident.
joy,Winning the local soccer championships this year was a great joy.
sadness,"Not succeeding in a cross-country skiing competition, which I intended to win."
shame,"When I got really drunk on Norvegian Indipendence Day, and was not allowed to participate in football (soccer) games for two weeks. That was very unpleasant."
anger,When my mother treats me as a 10-year old boy.
disgust,"Outside a night club, a grown man was sitting on top of a younger woman, beating her up."
fear,Was threatened with a knife ... in the military by soldiers form another unit. The reason was girls.
guilt,"When being illoyal (disloyal) to people close to me. Had such an episode with my sister, who should have received my support and attention."
joy,Getting the top price in the football pools.
sadness,Getting to know that my uncle in America had a brain tumor.
shame,"My father was a member of the public Alcohol and Drugs Board, when I was picked up by the police for being drunk in a public place."
anger,"Having agreed to share the taxi expenses, three people in the back of the car just ran off, leaving the person up front with the entire bill."
disgust,Can't remember any such feelings now.
fear,"Motorcycle accident with two people involved, running off the road. Broke an arm, only."
guilt,"Accidentally dropped a friends camera flash, so that it was broken."
joy,"Receiving close friends form abroad, whom I hadn't seen for years."
sadness,Death of a close friend.
shame,"At a private party I literally fell into the food. The party was completely ruined for the host, carpets had to be cleaned, etc."
anger,Realizing that a friend had been talked into signing a certain contract.
disgust,The sadistinc exacution of a student in the USA.
fear,"Almost crashing my car, something which could have led to great problems."
guilt,Not keeping a promise of delivering materials of great importance to the receiver.
joy,Selling my used car.
sadness,"Talking to a pensioned and bitter ""street order"" policeman."
shame,Forgetting an important appointment.
anger,Receiving personal criticisms early in the morning.
disgust,Seeing a pornographic film when looking for a place to live.
fear,Afraid I wouldn't catch the train when I was going to see my sweetheart.
guilt,"The negative feelings towards me displayed by my ""parents-in-law""."
joy,Managed to run 30 Km on skis fairly simply.
sadness,Not getting a job.
shame,When unjustified hurting other people.
anger,"Physical violence. A friend wouldn't listen to me I repeatedly tried to warn him, to no avail. Result: eight people were ""pissed off""."
disgust,Maltreatment of children.
fear,"The house was on fire, and I was saved by the dog. I am afraid of the fire, verging on panic."
guilt,"Car accident, hurt three of my closest family."
joy,Reunion with my wife after a legal separation.
sadness,My father dying.
shame,I lost my driver's licence because of speeding.
anger,"In traffic I often get relatively angry with other drivers. Several transgressions make me mad, especially not yielding to priority traffic (e.g. coming from the right)."
disgust,I feel disgust towards those who are responsible for the death of others.
fear,"Thinking of the unknown, what happens at the moment of death, etc."
guilt,"I often feel guilty, and it has to do with other people, e.g. if I haven't visited my older relatives for a while."
joy,Relating to my closest family.
sadness,"Losing close people and animals. So far, I've felt most when losing our dog in a traffic accident."
shame,"Talking about a person's unattractiveness, not realizing that the person was listening."
anger,"Having gone to school without learning anything, as usual."
disgust,Overeating a traditional type of food - blood pudding.
fear,"Being very close to having an auto accident, almost driving off the road."
guilt,I crashed my father's car.
joy,When the contract about my shop was signed.
sadness,"My sweatheart were away on a trip, and then she got problems."
shame,Forgot to do some shopping that I had promised to do.
anger,Being slandered by friends.
disgust,Does not apply.
fear,Being close to drowning.
guilt,Being aggressive against members of my family.
joy,Receiving a letter form a girl that means a lot to me emotionally.
sadness,Love problems.
shame,"Having finally to admit I was wrong, after having denied it for a long time."
anger,Angry when our team (small boys) lost the county championship football final.
disgust,"A teacher gave me lower grades than I was entitled to, and was hoping for."
fear,I was scared in the dark when I was a little boy.
guilt,Not helping parents enough at home and at the farm - this has happened many times.
joy,I won the country ski championship.
sadness,My grandfather's death.
shame,Was caught stealing apples in a neighbor's garden.
anger,"My father accused my brother of having bumped his car, and it was wrong."
disgust,"When a ""friend"" dropped a frog down my neck, and I didn't know what it was."
fear,"Once I was stopped by the police in Spain, when I had some ""grass"" in my tobacco."
guilt,During 7th grade our class mobbed a famale teacher so badly that she had a breackdown and was hospitalized.
joy,"When the bank let me borrow some money this winter, after my grant was spent."
sadness,When a girlfriend left me.
shame,Fighting with my father while drunk.
anger,"I had a discussion with my mother concerning my sister's divorce, we disagreed strongly."
disgust,"I had a discussion with my wife about an over-weight acquaintance of our's, about her eating habits and the scars caused by her pregnancy."
fear,"As a child, when I was at home alone, I felt in an indefinate manner afraid of the death of my father and mother."
guilt,"The same as in ""shame""."
joy,I am a school teacher. At a teacher-parent meeting I received a good deal of positive feed-back on my work both from the parents and through them from the pupils.
sadness,As a ten-year-old I was at the funeral of my grand-father.  It was more the ceremonies held in the church and not really the death of my grand-father which made me sad.
shame,When I confessed to my girl-friend (now my wife) that I had betrayed her with another woman.
anger,A conflict with a pupil.
disgust,A saturday night a bus full of drunken people.
guilt,Selling the appartment after my divorce.
sadness,When I am at home alone.
shame,A conflict with a pupil and there were probatory teachers present.
disgust,"As a child, when I saw an ""unesthetic"" sight."
fear,In the dark an unreal figure formed by a shadow.
guilt,When I caused needless anxiety to a person close to me because of my lack of self-insight.
joy,When in an economic crisis I got an unexpected sum of money.
sadness,When I noticed obvious marks of old age (in a negative sense) on a close relative of mine.
shame,"On a social occasion, I noticed that I reacted on the basis of my autonomous nerve system (I could not help it)."
anger,My fiancee and I were at my parent's place watching TV. There were  only two TV-chairs and we were sitting on them when my drunken brother came in and rudely chased my fiancee off the chair she was sitting on.
disgust,We were at a hamburger bar and a man at a table nearby started coughing and spitting into his plate.
fear,I had been drinking with a pal and I later (1 o' clock) had a date  with my fiancee.  We were going to a Spanish lesson and I was afraid that she would smell that I had been drinking.
guilt,We had had a party the night before and we still had some liquors left the morning after. I went to the kitchen pretending to prepare some tea and was caught by my fiancee pouring some rum down my throat.
joy,I was coming home from an exam and I supposed that I had passed it so I ran to a restaurant for a beer.
sadness,I had drunk a couple of beers and my fiancee got angry at me.
shame,We got into a fight with some chaps in front of our family house. The value of the property destroyed was approximately 15 000 FIM. I felt ashamed when my parents came to know about this.
anger,When a girl left me.
disgust,"On Reperbahn, in a restaurant, a ""charming"" old saleswoman came to beg a drink for herself."
fear,I was on the Inter Rail in Naples alone. After an evening in a restaurant I was going back to the hotel when a prostitute approached me to sell herself. I refused but as I carried on walking I felt that I was being followed by someone.
guilt,"On Reberbahn, I was in a ""restaurant"" where drinks were overpriced.  I did not ask for the prices beforehand, and when the bill came I could not pay the bill."
joy,While dancing in a restaurant last week.
sadness,"I was on my way back from the Inter Rail, on board the ferry from Stockholm when my father called me at 7 o'clock to tell me that my uncle had died and that I would be seeing him off on his final journey within four days."
shame,"At the funeral of my uncle, I was one of the bearers.  I was not familiar with the etiquette and acted tactlessly because of my ignorance."
anger,"While in the army, I was treated unfairly by my superiors.  I was held responsible for a deed of which I was innocent."
disgust,"In the army, an acquaintance of mine tended to use his position to advance his own interests."
fear,"At the dentist's, waiting for my turn to come."
guilt,When I spoke ill of a fellow worker in the absence of this person.
joy,My girlfriend gave me some feed-back and I understood that it meant that our relationship was about to turn even closer.
sadness,When I came to know that my grandmother had died.  She was very close to me.
shame,"When I lied to my girlfriend, telling her that I had passed an exam, when I actually did not even take it."
anger,When stupid people push me during rush time in the city.
disgust,When I saw hundreds of snakes twisting over one another in a movie.
fear,"When I saw Russian roulette on TV. (obviously the movie ""Deer hunter"")"
guilt,When I shot a bird in the head with a shotgun.
joy,When I look at people around and know that people who are stupid look stupid.
shame,I saw a skid-row (chronical) alcoholic and I was ashamed of the people with a high standard of living.
disgust,A rich man expressing disgust towards an alcoholic.
sadness,"Loneliness, being uncertain of myself in the Autumn."
shame,"A man asked me: ""May I sleep in your stairway?""  and I answered ""No""."
anger,"I had an implicit agreement with my sister about meeting her, however she had not understood the situation the same way so she did not turn up."
disgust,In the bus I was sitting next to a colleage who was drunk and behaved in keeping with his state.
fear,"My father was away from home and he did not come back when he was expected, he came back several hours later than expected."
guilt,I had promised to call a girl but I did not do it.
joy,I went to a doctor with a complaint. The doctor told me that I was completely healthy.
sadness,I realized that the girl I loved had to leave me.
shame,I had promised to help out with domestic chores and I forgot about it.
anger,When I learned that my brother had spoilt an LP of mine.
disgust,A too eager approach by a dirty drunken person in a bus.
fear,I returned home late from a party last night and I felt afraid trying to anticipate the reaction of my father.
guilt,"I reproached my mother's cooking and criticised her personality, and she felt hurt and depressed."
joy,When I unexpectedly received birthday greetings from a person I like.
sadness,When I came to know that a girl I was fond of already had a boyfriend.
shame,I made a major mistake while learning how to use a computer programme and the teacher criticized me.
anger,After having quarelled with a relative of mine about politics.
disgust,When I noticed that a nice person was being exploited economically.
fear,When I got lost in New York city a late friday night with a friend of mine.
guilt,I had quarelled with a friend of mine and I later realized that it was also my fault.
joy,I shot the decisive goal in an ice-hockey match.
sadness,The death of my grandmother.
shame,I slandered a person behind his back and he got to know about it.
anger,"I was disappointed and angry at the bad quality of a documentay program on TV.  In my opinion, the topic was important and the program should have been made with seriousness and consideration."
disgust,"At my grandmother's detestable and selfish conduct towards my elder sister, although her behavior was due to senility and lack of understanding."
fear,"In the traffic with a car, I nearly got crushed between a bus and a tram.  The attention of other drivers saved me at the last moment."
guilt,"I had asked the Salvation Army to take away a piece of furniture of mine, but I forgot to cancel the agreement (a friend of mine took it) and I thereby caused the Salvation Army people some unnecessary work."
joy,I passed an exam which I was not sure at all to pass.  I rejoyced at the result because the possibility of continuing my studies depended on it.
sadness,My father had a heart attack when I was not at home (I was still living with them).  He recovered relatively well although he had to retire (which implied relief from the stress of a small scale enterprise).
shame,"I arrived late at a seminar concerning my major subject at university, although I had been appointed to formally oppose the paper which was being presented."
anger,When I realized that I was far behind the others in the language course and I could no longer catch up with the others.
disgust,"Spoilt, smashed and molded potatoes in the fridge, and having to clean up the dish later."
fear,A dark night when I had to go to the outdoor lavatory.
guilt,"I did not go to the exercises, without any adequate reason."
joy,"On the cliff by the sea, the silence and the sudden voice of a bird.(swans of the bay)"
sadness,"The long lasting illness of my grand-mother, and the changes in family relationships caused by it."
shame,"A truth expressed unthinkingly at a coffee party.  I realized later that I had been inconsiderate, at a wrong moment and the wrong place."
anger,I was angry with a friend of mine who behaved in an affected manner.
disgust,My parents inherited an appartment and this made them behave in a peculiar manner.
fear,"While watching TV (a war movie), I felt a strong fear of death, threat and fear of loosing people close to me."
guilt,"When I think about my family (parents, brothers, sisters) guilt is a part of my feelings."
joy,"When I got home from my job, I found a letter from the university telling me that I had been admitted to begin my studies."
sadness,I made a long-distance call to people rather close to me and I thought about the sad incident that had happened to them in the near past; I knew that they were thinking about it too when I made the call.
